,Question,Answer,Sentiment (Positive / Negative / Neutral / Ambiguous)
461129,"5) What do you think were the strongest features of the course?
","Having the option to be able to do our work when we have time and being able to have discussion boards with other students in order to
see what they think of the subject matter.
",Positive
62575,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","The instructor's lectures were clear and organized, but at times she would skip over many slides and expect the students to go over them.
Also, the slides made available to the student's were different from the ones presented in class and I did not that change in information.
",Negative
550133,"What did the instructor do well?
","The instructor explained the content of the course well and made it clear for easier understanding.
",Neutral
185121,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Overall she did really well. I understood all if not most of the material. I liked how she gave study guides and plenty of days to review.
Throughout her teaching, you could tell she was very well prepared.
",Ambiguous
384420,"Comments:
","good
",Positive
223095,"Please provide an example illustrating how rigorous (challenging and maintains high standards) this instructor was.
","too demanding of reading material regardless of COVID-19
",Negative
24264,"Please provide any comments about the faculty member's teaching ability:
","Dr. <Faculty Name> has poor response skills. her replies to emails are not genuine, unhelpful, and sometimes outright rude. she has a vast array
of knowledge and is a very smart person, but her communication skills need to be greatly improved before i can consider her a teacher i
enjoyed. 
",Ambiguous
101011,"Do you have any comments about the course materials (i.e. course syllabus, course outline, etc.)?
","No
",Neutral
581994,"Your instructor would like to know if there is something you believe he/she has done especially well in his/her teaching of this course.
","Professor was knowledgeable of the topics and shared their experiences.
",Positive
348541,"Comments:
","<Faculty Name>, you are indeed a born teacher
",Positive
414912,"What feedback would you like to provide the instructor about teaching effectiveness and/or course content?
","I enjoyed the class and the content that I learned from it. There are a few areas that I would like to touch on. First, thank you for being
available at all times. I feel as though your communication with us was always open, and you always replied to any concerns we may have
had. However, the way in which you replied could be taken a bit harshly. As I understand we are graduate students and you have provided
us with the information to complete our assignments, when a student feels that they cannot reach out to you for fear of being belittled or
talked down to, I think there is a problem. Yes, you provided us with resources, but sometimes questions arise, and a simple yes or no
answer would suffice. Instead, there were times where you would try to make it full circle, make the student provide evidence for their
question, and pretty much make a student feel dumb or less than. One more concern I have is with the comp checks. Providing 20 min for
20 questions is inequitable and not inclusive. It takes me more than a minute to read and process a question before I can even think about
an answer that is provided. I have a processing delay, and I already have test anxiety. Therefore I believe it would be helpful and more
inclusive to provide more time. Within this program, we are taught to teach <Faculty Name>. We are taught (even in your own assignments) to think
about how we can be inclusive for all students and learners. So please, lead by example and set a standard that you're asking us to do in
our own assignments. You shoutouts each week to students who have gone ""above and beyond"" is great, I think they deserve to be
recognized, but doing shout outs for ""a thoughtful response"" is sending the message that no one else is thoughtful. You made it very clear
at the beginning of the semester that we were to call your Prof. P, Professor <Faculty Name>, or Dr. <Faculty Name>. You did this because your identity is
your last name, and you're proud of that. I love how honest you were, and you targeted that right away. A suggestion I have, however, is
that you give us the opportunity to let you know what we would like for you to refer to us by. Right off the bat, you called us Ms. or Mr. with
our last names. Some of us don't like our last names as our identity and prefer our firsts. Some of us might also not recognize as Ms. or
Mr., at CSUF, I have always taken a lot of pride in the fact that my professors always ask for our pronouns when we introduce ourselves. I
wish you would have done the same. I know what you're thinking, ""you're grad students, use your voice, speak up"". Yes, I agree, we
should and we could. However, it doesn't hurt for you, as our professor, to ask and show us that you actually care. I know that sounded like
a lot of negatives, and I apologize, but overall I really enjoyed your class. I appreciate you offering multiple zoom sessions where you
would provide answers to any questions we might have had for assignments. I appreciate you giving us another opportunity to hand in an
assignment that seemed to be missing the mark. As I stated earlier, I have taken a lot from your class, and I believe I have grown
immensely as a graduate student after this course. But please, remember, even though we're grad students, we're still human. We have
emotions and feelings. Some of us are more sensitive than others, and I ask that you keep that in mind. Thank you.
",Neutral
187138,"The instructor (for example, lecture style, attitude towards students, teaching methods).
","Instructor's attitude towards students is good, he's approachable and helpful.
",Positive
580296,"Additional Comments:
","It was very hard to follow his lectures. Professor had a hard time connecting to zoom every week. Test were unorganized and had wrong
answers.
",Negative
51776,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","Provided lectures through video for our online course!
",Neutral
51855,"What could you have done to improve your learning experience in this course?
","do more examples
",Negative
194673,"You may explain your yes/no answer to question number 4 in the space below.
","100% yes.
",Positive
188571,"What aspects of the course contributed the most to your learning experience?
","HBR articles
",Neutral
545368,"What suggestions for improvements do you have?
","Maybe don't have lectures be really long.
",Neutral
385701,"(Optional) Please make written comments which you believe may aid the instructor to maintain current high standards or which you
feel will help to improve course. If a grade of C or lower is given to any of the above questions, the instructors would benefit from
written comments.  Please write comments only in box below.
","the only other thing is maybe assign mileage work, like i know it sucks to have to be told to draw like 5 pgs of hands or something, but
those times where we don't have homework, it's just to make sure that people get the practice in so they can be successful. If it's just a
page count especially you don't have to grade it, it's busy work. Like that assignment where you had us draw from the hand mold. That
thing is still just sitting in my room as neat as it is, if we're gonna spend a day working to make it, lets use the thing more.
",Negative
503964,"Explain whether you learned as much as you expected in this class given the amount of effort put into it.
","Maybe this is because of the school changes and new method of teaching because of online class, but I haven’t felt like I learned a lot. As
a non native Vietnamese speaker, I had trouble following along the lecture.
",Negative
191810,"Comments:
","He teach's the concept very well, and he is very kind and helpful professor.
",Positive
255325,"What could you have done to improve your learning experience in this course?
","everything
",Neutral
457304,"Provide an example and/or an explanation that illustrates your rating in Question 3
","This course required a lot of understanding, and sometimes, I can have a hard time understanding the gender philosophy.
",Ambiguous
574370,"What could the instructor do to improve the class?
","When it came to the writing assignments (Executive Summary & Career Packet), I felt like I was thrown into the tasks without truly knowing
enough information on how to write these documents effectively. Not enough time was dedicated in class explaining these documents. It
was also a long time until I knew my grades on these assignments.
",Ambiguous
552446,"Additional Comments:
","I am very glad that I took this class with this instructor!
",Positive
83670,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","He always on time for class, he always writes upcoming assignments on the board and goes in-depth with class topics. 
",Positive
137682,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","She always started class on time. She always reminded us of her office hours and made herself available to us.
",Positive
365396,"Please give us your comments on the instructor's performance in this course. If you wish, include such matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page
","She cared about us, she was very into the class, very engaged. She did her best in making sure the classroom environment was as safe
and as effective as possible.
",Positive
219716,"Please give us your comments on the instructor's performance in this course. If you wish, include such matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page.
","However, due to the unforeseen circumstances of switching to virtual instruction, I cannot help but notice him struggling a little bit on
handling technological concepts, it would be nice if someone were to help him familiarize with this. Though it is apparent that he is trying.
",Negative
413079,"Additional Comments:
","<Faculty Name> class I have took so far! Thanks Professor!
",Positive
